Date,Open,High,Low,Close,Volume
2025-01-03,71.05999755859375,71.22000122070312,70.75,71.0999984741211,148500
2025-01-02,70.79000091552734,71.06999969482422,70.43000030517578,70.77999877929688,229300
2024-12-31,70.29000091552734,70.6500015258789,70.25,70.58999633789062,192800
2024-12-30,70.23999786376953,70.55999755859375,69.70999908447266,70.33000183105469,182800
2024-12-27,70.5,70.88999938964844,70.16000366210938,70.52999877929688,174000
2024-12-26,70.5999984741211,70.97000122070312,70.5999984741211,70.8499984741211,212900
2024-12-24,70.81999969482422,70.87000274658203,70.37999725341797,70.75,86500
2024-12-23,70.5,71.25,70.25,71.25,235700
2024-12-20,69.66000366210938,71.19999694824219,69.55999755859375,70.68000030517578,364500
2024-12-19,70.81999969482422,70.97000122070312,70.08000183105469,70.12000274658203,351900
2024-12-18,72.48999786376953,72.52999877929688,70.18000030517578,70.33999633789062,383700
2024-12-17,72.58999633789062,72.5999984741211,72.38999938964844,72.55000305175781,178300
2024-12-16,73.2300033569336,73.30000305175781,72.76000213623047,72.9000015258789,162300
2024-12-13,73.69999694824219,73.70999908447266,73.18000030517578,73.31999969482422,272900
2024-12-12,74.36000061035156,74.45999908447266,73.68000030517578,73.70999908447266,140600
2024-12-11,74.37999725341797,74.87000274658203,74.37999725341797,74.73999786376953,425700
2024-12-10,74.55000305175781,74.55000305175781,74.19000244140625,74.19999694824219,226600
2024-12-09,75.37999725341797,75.41000366210938,74.4800033569336,74.5,112300
2024-12-06,75.41999816894531,75.41999816894531,74.77999877929688,74.91000366210938,181500
2024-12-05,75.19999694824219,75.62000274658203,75.13999938964844,75.4800033569336,184300
2024-12-04,75.30000305175781,75.4800033569336,74.9000015258789,75.12999725341797,218700
2024-12-03,75.30999755859375,75.5199966430664,74.93000030517578,75.06999969482422,402300
2024-12-02,75.5,75.5,74.69000244140625,75.18000030517578,272000
2024-11-29,75.11000061035156,75.48999786376953,75.01000213623047,75.44999694824219,95500
2024-11-27,74.54000091552734,75.0199966430664,74.54000091552734,74.91999816894531,119800
2024-11-26,73.88999938964844,74.5,73.7699966430664,74.47000122070312,413400
2024-11-25,75.2300033569336,75.31999969482422,74.7300033569336,74.87000274658203,305300
2024-11-22,75.04000091552734,75.08000183105469,74.80000305175781,75.0,348600
2024-11-21,74.05999755859375,74.88999938964844,73.73999786376953,74.83000183105469,173900
2024-11-20,73.5999984741211,73.69999694824219,73.22000122070312,73.69999694824219,125000
2024-11-19,72.93000030517578,73.70999908447266,72.88999938964844,73.69999694824219,195600
2024-11-18,73.0,73.5,72.98999786376953,73.33000183105469,150700
2024-11-15,73.19999694824219,73.19999694824219,72.55999755859375,72.80000305175781,270900
2024-11-14,73.98999786376953,73.98999786376953,73.36000061035156,73.41999816894531,241900
2024-11-13,73.36000061035156,73.61000061035156,73.20999908447266,73.55999755859375,133700
2024-11-12,73.4800033569336,73.88999938964844,73.27999877929688,73.58000183105469,205300
2024-11-11,73.13999938964844,73.5199966430664,73.0999984741211,73.1500015258789,170800
2024-11-08,73.0,73.06999969482422,72.6500015258789,72.94000244140625,130100
2024-11-07,72.87999725341797,73.66000366210938,72.87999725341797,73.5,188800
2024-11-06,71.80999755859375,72.5199966430664,71.44000244140625,72.44000244140625,131200
2024-11-05,71.58999633789062,72.1500015258789,71.41999816894531,72.11000061035156,137400
2024-11-04,71.47000122070312,71.68000030517578,71.02999877929688,71.31999969482422,156300
2024-11-01,71.22000122070312,71.41000366210938,70.83000183105469,70.97000122070312,260400
2024-10-31,71.62999725341797,71.62999725341797,70.56999969482422,70.80000305175781,170100
2024-10-30,71.76000213623047,72.04000091552734,71.54000091552734,71.88999938964844,119900
2024-10-29,72.0199966430664,72.22000122070312,71.66000366210938,71.94000244140625,132300
